tid;b_m;capex;d_phi;d_v;g_m;id;opex;r_sc;s_rated;tap_max;tap_min;tap_neutr;tap_side;v_hv;v_lv;x_sc
12185;0;0;0;-4;0;transformer_type_n073b4345a05be4209ea5f6ccc613aed088b3d65c6b74c07d0de58477dcbe0f99dem;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.09523661322485
12186;0;0;0;-4;0;transformer_type_al7474e802acb43d546195a734a14b02f00aa0138cb5e6de3eb004a8f82f865063;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;23.8723025882592
12187;0;0;0;-4;0;transformer_type_2adac8ea1769fb9f918de80f99688dbb183db03005d7c1f78f34307056ae9f6ce;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.4580242223976
12188;0;0;0;-4;0;transformer_type_Iil937ce12650c3d64e92a3be2b691b29e821609fd54dc4f3e4162d2b1b28ff16f3lr;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.3723589527973
12190;0;0;0;-4;0;transformer_type_ed7f4560559d9d94d691b10ddbdbff322d9a0b8fc2a547839cbdbff1cdb476a1d4fe;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.41269707768278
12191;0;0;0;-4;0;transformer_type_bnn4c1989af18a35817c82828a7c96386a82343e4b4c70738c79f95f2d8d73693ecn;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.4591438553704
12192;0;0;0;-4;0;transformer_type_ree839b6bb1f41919867eba80344dfa42cf01c5b7dfb63b58ac2c71cb759f60bebdrrhr;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;24.1223303121721
12193;0;0;0;-2.5;0;transformer_type_inn8ed3a5ac2ed4d69e42a7943c751e2db6d99a42661779e960559dba2d326a1ceereg;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.74998353537636
12194;0;0;0;-4.5;0;transformer_type_IGeedeefb7011ce05983724101da1ab9ff0191c74b7ac959b96ca252c49072f20frd;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.8797821582778
12195;0;0;0;-2;0;transformer_type_Idffe6442a946b1cf7ea9718b91368b6e0068d7c1ad9158b8fdf56e0312920db4fe;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.5997785132216
12197;0;0;0;-4;0;transformer_type_ebb8047b9fca06284108257cee99a375dcd6b87c85a8dcf2a7bd1083f9c541756a;0;0.0415921825749431;314.999997615814;3;1;2;f;10;0.400000005960464;12.7935839482361
12198;0;0;0;1.77777802944183;0;transformer_type_erc49cfd5d5eea3f84c3123c66f31180e87942c5e900fbc47f48f90dfa05a4c383deei;0;0;16000;19;1;10;f;30;10;4.5
12199;0;0;0;-5;0;transformer_type_ir5766d650cc2ea0e031721c7edcef503f9a0e822a9d9c915a9d62926e7535cd7adt;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.1997721022841
12200;1.27;10;0;1.5;555.5;HöS-HS_1;0;5.415;200000;5;-5;0;f;380;110;108.165
12202;0;0;0;-2.5;0;transformer_type_ebmhbdd1433945cbd44865dcf9208506ea8be5976b70432bd26d306363903921e906dbe;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.42857046024719
12204;0;0;0;1.77778005599976;0;transformer_type_gedfi89fc7c895076ff25ec6d3b2e7ab9a1b24b37f73ecf30f895005d766a8d8d2774aa;0;0;40000;19;1;10;f;110;10;51.7275011539459
12210;0;0;0;-4;0;transformer_type_nrl2598ba1a9c2627b39856fc20db6c5ddb260ee2dd29fc811edf3cc837cdca8e71md;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.5999840398326
12213;0;0;0;-2;0;transformer_type_gh82e372aa9ee4005c4814a9f5635c5d7d17e54cd51d8d0531710088bee1919a66ln;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.9997836785287
12196;0;0;0;1.5;0;transformer_type_fec3d7725afa61cd99748c1bb90b360d39ca9c34b3476847da6d09212cdfc95441rG;0;4.5375;20000;10;-10;0;t;110;20;102.749859336887
