uuid;tid;amount;st_astext;id;in_operation;length;node_a;node_b;operates_from;operates_until;scenario;type
51ef329f-688e-33d1-a680-299a5117d53b;235852;1;;LTG_MS3_03-MS3_04;t;6;12101;12102;;;;2
306470b9-7ce0-333d-a9e6-8b1be6178db9;235870;1;;LTG_NS_NET116_S2_2-NS_NET116_S2_3;t;0.0299999993294477;12122;12123;;;;10
ce68b546-a342-31d7-8688-8ed8e5da61b0;235848;1;;LTG_MS2_05-MS2_06;t;0.400000005960464;12095;12096;;;;2
cbffaec2-d7fd-3175-ab2d-b8b77016f0a7;235863;1;;LTG_NS_NET116_ONS-NS_NET116_S2_1;t;0.0299999993294477;12115;12121;;;;3
f2a31a3f-1854-38e9-b4d3-bf5768e683fd;235854;1;;LTG_MS3_05-MS3_06;t;0.400000005960464;12103;12104;;;;2
28a052af-5a14-3e25-a943-fbcd5c907ca1;236000;1;;LTG_NS_NET146_F1_(1)-NS_NET146_ONS;t;0.120999999344349;12264;12380;;;;3
45323eb0-fa21-3dde-a494-eb8ee4c33532;235862;1;;LTG_NS_NET116_ONS-NS_NET116_S1_1;t;0.0299999993294477;12115;12116;;;;10
facf4464-d8ee-3038-96a3-36837c0c2e1c;235858;1;;LTG_MS4_03-MS4_04;t;6;12109;12110;;;;4
13725001-149a-33ca-a87c-eb77ba05b4e4;235903;1;;LTG_NS_NET126_F2_(13)-NS_NET126_F2_(14);t;0.0219999998807907;12174;12175;;;;16
dffdb924-2410-3d20-9018-9a312f8193d2;235949;1;;LTG_NS_NET126_F2_(12)-NS_NET126_F2_(13);t;0.0280000008642673;12173;12174;;;;10
824279ef-f5bb-33c3-b87c-a298135b225b;235908;1;;LTG_NS_NET126_F2_(21)-NS_NET126_F2_(22);t;0.0240000002086163;12183;12184;;;;10
97e54aae-8742-383d-99ef-71880068d508;236024;1;;LTG_NS_NET136_ONS-NS_NET136_S3_1;t;0.0299999993294477;12248;12259;;;;10
605e4843-a77c-30c0-adb4-e6d4626b220d;235947;1;;LTG_NS_NET126_F2_(10)-NS_NET126_F2_(11);t;0.0189999993890524;12171;12172;;;;10
ca5a3a48-addc-3ab7-8e21-c2b08494f611;235905;1;;LTG_NS_NET126_F2_(15)-NS_NET126_F2_(16);t;0.0179999992251396;12176;12177;;;;16
dbcb088c-7069-36bf-9c9e-3488836a6dd3;236118;1;;LTG_NS_NET146_F4_(2)-NS_NET146_F4_(3);t;0.0469999983906746;12372;12373;;;;3
e949890c-3b9a-3415-b331-7c4b861e5a10;235933;1;;LTG_NS_NET126_F1_(19)-NS_NET126_F1_(20);t;0.0439999997615814;12141;12143;;;;3
